quarter,real_GDP,cpi_level,unemp_rate,agg_deposits,base_rate,cpi_rate
2020Q4,570338,80.6,5.3,10.4,0.1,0.49875311720697185
2021Q1,564411,80.7,4.9,12.2,0.1,0.6234413965087281
2021Q2,605353,81.9,4.7,9.9,0.1,2.1197007481296795
2021Q3,615459,82.8,4.4,9.9,0.1,2.8571428571428537
2021Q4,624592,84.6,4.2,6.9,0.12,4.962779156327544
2022Q1,629149,85.7,3.8,4.6,0.46,6.195786864931846
2022Q2,631258,89.4,3.8,3.5,0.95,9.157509157509157
2022Q3,631977,91.1,3.7,3.5,1.62,10.024154589371978
2022Q4,634044,93.7,3.9,3.7,2.81,10.756501182033109
2023Q1,634807,94.5,4.0,2.5,3.86,10.268378063010498
2023Q2,634866,96.9,4.2,1.8,4.46,8.389261744966442
2023Q3,634052,97.2,4.1,0.9,5.16,6.695938529088923
2023Q4,632365,97.6,3.9,1.0,5.25,4.162219850586971
2024Q1,637729,97.8,4.3,2.4,5.25,3.4920634920634894
2024Q2,640592,99.0,4.2,3.5,5.25,2.1671826625386936
2024Q3,640417,99.2,4.3,4.8,5.09,2.05761316872428
2024Q4,641065,100.0,4.4,5.3,4.85,2.459016393442629
